[Tue 06/23/2026  4:20:54.22] Services started 
[Tue 06/23/2026  4:20:54] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [92mRUNNING[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:21:04] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:21:14] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:21:24] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:21:34] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:21:44] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:21:54] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:22:04] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:22:14] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:22:24] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:22:34] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:22:44] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:22:54] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:23:04] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:23:14] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:23:24] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:23:34] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:23:44] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:23:54] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:24:04] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:24:14] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:24:24] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:24:34] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
[Tue 06/23/2026  4:24:44] Laravel: [92mRUNNING[0m | Reverb: [92mRUNNING[0m | Redis: [91mSTOPPED[0m | MySQL: [92mRUNNING[0m 
